id,simplified,traditional,pinyin,jyutping,english,mandarin_rank,cantonese_rank,examples,hsk_level
725768450111012889,家人,家人,jiā rén,gaa1 jan4,family member; (old) servant,1562,,[],1
7637322371623471,间,間,jiān,gaan1,between; among,546,,[],1
965453131846847920,见,見,jiàn,gin3,to see; to meet,178,,[],1
152218958602666211,见面,見面,jiàn miàn,gin3 min6,to meet; to see each other,1876,,[],1
546053103749366414,叫,叫,jiào,giu3,to shout; to call,200,,[],1
765680141137292239,教,教,Jiào,gaau3,surname Jiao,988,,[],1
99933373892319833,教学楼,教學樓,jiào xué lóu,gaau3 hok6 lau4,teaching block; school building,29517,,[],1
315151781149008746,介绍,介紹,jiè shào,gaai3 siu6,to introduce (sb to sb); to give a presentation,779,,[],1
726515667403080938,姐,姐,jiě,ze2,older sister,3576,,[],1
204038258476115038,姐姐,姐姐,jiě jie,ze4 ze1,older sister,1513,,[],1
1146705136564273018,今年,今年,jīn nián,gam1 nin4,this year,851,,[],1
107668353935616432,今天,今天,jīn tiān,gam1 tin1,today; at the present,155,,[],1
468860421925185969,进,進,jìn,zeon3,to go forward; to advance,338,,[],1
1124071314925038896,进来,進來,jìn lái,zeon3 loi4,to come in,1870,,[],1
794951130699858690,进去,進去,jìn qù,heoi3,to go in,1624,,[],1
178503097532723020,九,九,jiǔ,gau2,nine; 9,2040,,[],1
920007055737838819,就,就,jiù,zau6,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after,15,,[],1
985458365991837235,觉得,覺得,jué de,gok3 dak1,to think that ...; to feel that ...; to feel (uncomfortable etc),161,,[],1
811236211305623649,开,開,kāi,hoi1,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start",195,,[],1
915544014362992518,开车,開車,kāi chē,hoi1 ce1,to drive a car,2670,,[],1
25261161405218892,开会,開會,kāi huì,hoi1 wui6,to hold a meeting; to attend a meeting,4398,,[],1
103836610106049424,开玩笑,開玩笑,kāi wán xiào,siu3,to play a joke; to make fun of,3878,,[],1
428834737091888677,看,看,kān,hon3,to look after; to take care of,52,,[],1
975502589302235080,看病,看病,kàn bìng,hon3 beng6,to visit a doctor; to see a patient,7705,,[],1
967308697526738651,看到,看到,kàn dào,hon3 dou3,to see,169,,[],1
575684462395229023,看见,看見,kàn jiàn,hon3 gin3,to see; to catch sight of,870,,[],1
1070006734827524079,考,攷,kǎo,haau2,to beat; to hit,2030,,[],1
1032356554118834409,考试,考試,kǎo shì,haau2 si3,to take an exam; exam,1718,,[],1
1081312862078635593,渴,渴,kě,hot3,thirsty,9442,,[],1
365032582067405258,课,課,kè,fo3,subject; course,1517,,[],1
125465198717782270,课本,課本,kè běn,fo3 bun2,textbook,13062,,[],1
275106978264225194,课文,課文,kè wén,fo3 man4,text,30576,,[],1
